team,opponent,team_rank,opp_rank,opp_off_rank,opp_def_rank,date,venue,result,t_score_t,t_score_o,score_t,score_o,t_rating_t,t_rating_o,rating_t,rating_o,t_poss_t,t_poss_o,poss_t,poss_o,color_rating_t,color_rating_o
California Baptist,South Carolina Upstate,118,308,341,221,2025-11-03,home,W,87,75,78.8641788690333,65.5995490405342,122.535211267606,104.166666666667,120.103196689083,100.437150580699,71,72,65.6636801043629,65.3140283861664,#FFD9AA,#F4F8FC
California Baptist,UC Irvine,118,105,246,30,2025-11-07,away,W,69,61,62.1284464166768,45.7267266359103,94.5205479452055,83.5616438356164,99.1200840863982,74.0570328062097,73,73,62.6799775134598,61.7452859008902,#C9DDEF,#FFBE6D
California Baptist,Western Illinois,118,364,361,356,2025-11-14,home,W,69,59,64.5764267292206,57.0133679421013,109.52380952381,93.6507936507936,108.577517113508,96.2408059754649,63,63,59.4749525002599,59.2403267660039,#FFFFFF,#FFF9F2
California Baptist,UC Riverside,118,282,305,234,2025-11-18,home,W,80,57,68.7400821789988,46.5009740035851,106.666666666667,75,110.307632626053,75.3078909686631,75,76,62.3167051477119,61.7478107612056,#FFF9F2,#FFC274
California Baptist,Grambling,118,291,344,158,2025-11-21,home,W,72,59,65.4703285124585,52.5424100713718,112.5,90.7692307692308,112.089170842085,89.0381171167302,64,65,58.4091469502396,59.0111423880269,#FFF3E5,#FFE6C7
California Baptist,San Diego,118,257,209,288,2025-11-25,neutral,W,76,61,70.3886574608009,57.0096128327051,108.571428571429,85.9154929577465,107.995274736204,86.2317204808444,70,71,65.1775345104095,66.1121134018998,#FBFCFE,#FFDFB6
California Baptist,Oregon State,118,179,167,193,2025-11-29,away,W,75,69,75,66.1758337339306,111.940298507463,101.470588235294,114.864824930164,101.276243537025,67,68,65.2941403476642,65.3419118075184,#FFEAD1,#F1F6FA
California Baptist,Colorado,118,82,64,136,2025-12-01,away,L,70,78,66.0682668960996,72.4249742301867,100,113.04347826087,99.6461701031816,109.547236158305,70,69,66.3028662593727,66.1130091183011,#CCDFF0,#CADEEF
California Baptist,BYU,118,40,13,46,2025-12-03,neutral,L,60,91,39.5466698573363,65.8310209142737,84.5070422535211,130,79.0680447321425,132.891211025014,71,70,50.0159957051018,49.5375280325214,#5897CE,#5E9BD0
California Baptist,Utah,118,144,105,217,2025-12-06,away,L,85,91,82.1222134048133,88.635417449041,119.718309859155,130,119.799936406899,129.723715248981,71,70,68.5494632700689,68.326302001852,#FFDAAC,#6DA4D4
California Baptist,Eastern Washington,118,188,101,290,2025-12-12,away,W,88,83,82.3197150407703,71.015582398257,123.943661971831,116.901408450704,127.932286313924,111.493806392581,71,71,64.3463174251196,63.6946434030643,#FFC071,#C1D9ED
California Baptist,Southern,118,265,238,279,2025-12-16,home,W,75,67,73.1504163115261,67,108.695652173913,95.7142857142857,107.455295831267,98.2796688823705,69,70,68.0752081557631,68.1727978552627,#F8FBFD,#FFFFFF
California Baptist,Sacramento State,118,287,275,285,2025-12-20,home,W,74,67,72.4218195941909,67,107.246376811594,95.7142857142857,107.75811605336,98.3133887814983,69,70,67.2077633190326,68.1494156903773,#FAFCFD,#FEFEFE
California Baptist,Utah Valley,118,86,122,68,2025-12-29,away,L,66,73,62.1178486784522,69.5594508385329,90.4109589041096,100,92.1024911909375,101.548143864999,73,73,67.4442654864523,68.4989879588612,#A1C5E4,#EFF5FA
California Baptist,UT Arlington,118,195,298,85,2026-01-01,away,L,51,63,51,58.3527432037937,79.6875,98.4375,84.8180656622158,96.8071966378004,64,64,60.128699707802,60.2772781677769,#78ACD8,#FFFBF6
California Baptist,Tarleton State,118,248,296,172,2026-01-03,away,L,76,81,73.8140062320528,80.4620124201365,102.702702702703,109.459459459459,100.740631815057,109.528734334102,74,74,73.2713354106843,73.4620124201365,#D2E3F2,#CADEEF
California Baptist,Utah Tech,118,241,193,282,2026-01-08,home,W,84,72,77.5926826315034,63.8727135436045,135.483870967742,114.285714285714,135.398457651844,111.593470524125,62,63,57.3069176541292,57.2369630979404,#FFA83A,#C1D8ED
California Baptist,Southern Utah,118,285,249,300,2026-01-10,home,W,58,55,58,47.4381767462478,95.0819672131148,90.1639344262295,96.1043327386339,80.5041276992279,61,61,60.3510771545933,58.9263906112765,#B8D3EA,#FFCF94
California Baptist,Abilene Christian,118,271,335,160,2026-01-15,away,W,74,58,68.585778246393,44.3909302717112,112.121212121212,87.8787878787879,124.30485920157,84.0672881788056,66,66,55.1754603053576,52.8040468931204,#FFCC8C,#FFD9A9
California Baptist,Utah Tech,118,241,193,282,2026-01-21,home,W,73,64,67.3464338135096,57.745159072132,119.672131147541,103.225806451613,114.111673207347,97.2609209515768,61,62,59.0180057136992,59.371388330655,#FFEDD6,#FFFCF8
California Baptist,Utah Valley,118,86,122,68,2026-01-24,home,W,78,71,76.3937076233269,69.5845889363737,101.298701298701,91.025641025641,100.380750607433,91.8967331556181,77,78,76.10394140415,75.7204163270298,#D0E2F1,#FFEED8
California Baptist,UT Arlington,118,195,298,85,2026-01-31,away,W,87,77,81.7324367437298,66.9940711928566,111.538461538462,100,114.2899800874,94.6092685016325,78,77,71.5132128654039,70.8113192860175,#FFECD5,#FFF5E8
California Baptist,Tarleton State,118,248,296,172,2026-02-05,home,W,56,55,56,55,84.8484848484848,83.3333333333333,84.8484848484848,83.3333333333333,66,66,66,66,#79ACD8,#FFD7A5
California Baptist,Abilene Christian,118,271,335,160,2026-02-07,home,W,65,63,65,63,94.2028985507246,91.304347826087,94.2028985507246,91.304347826087,69,69,69,69,#ADCCE7,#FFECD5
California Baptist,Southern Utah,118,285,249,300,2026-02-12,away,W,83,66,79.3753945611477,63.0000116989832,125.757575757576,98.5074626865672,129.668704348545,102.633083830046,66,67,61.2139952812279,61.3837267165308,#FFBA64,#EAF2F9
California Baptist,Utah Tech,118,241,193,282,2026-02-14,away,L,65,70,64.2538182435827,70,100,107.692307692308,101.226494454637,110.002055300083,65,65,63.4752972428352,63.6351746420028,#D5E5F3,#C8DDEF
California Baptist,Utah Valley,118,86,122,68,2026-02-19,away,L,46,65,30.7730893036663,54.5566417415934,69.6969696969697,100,58.0889921312128,100.815799292919,66,65,52.9757673091578,54.1151705627804,#5294CD,#F3F7FB
California Baptist,UT Arlington,118,195,298,85,2026-02-26,home,W,68,56,66.8881066386535,53.4416362040869,109.677419354839,88.8888888888889,114.822826836604,90.4627715985006,62,63,58.2533181610631,59.0758333619005,#FFEAD1,#FFEAD0
California Baptist,Tarleton State,118,248,296,172,2026-02-28,home,W,82,67,75.1351418396992,63.0544396240482,124.242424242424,100,122.454135806744,102.614028183518,66,67,61.3577821154825,61.448167214798,#FFD299,#EAF2F9
California Baptist,Abilene Christian,118,271,335,160,2026-03-05,home,W,87,48,53.6333289303236,21.6999539348384,120.833333333333,65.7534246575342,136.472673298085,55.2552279885514,72,73,39.2996836906515,39.272218620353,#FFA433,#FF9C1F
California Baptist,Southern Utah,118,285,249,300,2026-03-07,away,W,82,75,78.46396653713,71.3352379882492,115.492957746479,105.633802816901,113.517608905436,105.120231300634,71,71,69.120524378287,67.8606174145845,#FFEFDA,#DFEBF5
California Baptist,Utah Tech,118,241,193,282,2026-03-13,neutral,W,86,72,80.209692904796,67.0008161536577,121.12676056338,100,119.528298563993,99.7213492759517,71,72,67.1051908781694,67.1880361027317,#FFDBAE,#F8FAFD
California Baptist,Utah Valley,118,86,122,68,2026-03-14,neutral,W,63,61,63,61,94.0298507462687,89.7058823529412,94.0298507462687,89.7058823529412,67,68,67,68,#ACCCE7,#FFE8CB
