region,seed_a,team_a,score_a,seed_b,team_b,score_b,winner,upset
East,1,Duke,71,16,Siena,65,Duke,No
East,8,Ohio State,64,9,TCU,66,TCU,No
East,6,Louisville,83,11,South Florida,79,Louisville,No
East,3,Michigan State,92,14,North Dakota State,67,Michigan State,No
South,5,Vanderbilt,78,12,McNeese State,68,Vanderbilt,No
South,4,Nebraska,76,13,Troy,47,Nebraska,No
South,6,North Carolina,78,11,VCU,82,VCU,YES
South,3,Illinois,105,14,Penn,70,Illinois,No
South,7,Saint Mary's,50,10,Texas A&M,63,Texas A&M,YES
South,2,Houston,78,15,Idaho,47,Houston,No
West,5,Wisconsin,82,12,High Point,83,High Point,YES
West,4,Arkansas,97,13,Hawaii,78,Arkansas,No
West,6,BYU,71,11,Texas,79,Texas,YES
West,3,Gonzaga,73,14,Kennesaw State,64,Gonzaga,No
Midwest,1,Michigan,101,16,Howard,80,Michigan,No
Midwest,8,Georgia,77,9,Saint Louis,102,Saint Louis,YES
